import time: self [us] | cumulative | imported package
import time:       634 |        634 |                     asyncio.selector_events
import time:       915 |       1824 |                   asyncio.unix_events
import time:       270 |      16086 |                 asyncio
import time:       177 |      16262 |               IPython.core.async_helpers
import time:      2945 |      35702 |             IPython.core.interactiveshell
import time:       225 |        225 |                         prompt_toolkit.application.current
import time:       158 |        158 |                               prompt_toolkit.eventloop.utils
import time:       267 |        424 |                             prompt_toolkit.eventloop.async_generator
import time:       244 |        244 |                             prompt_toolkit.eventloop.inputhook
import time:       143 |        811 |                           prompt_toolkit.eventloop
import time:       155 |        965 |                         prompt_toolkit.application.run_in_terminal
import time:       440 |        440 |                                 prompt_toolkit.selection
import time:       273 |        713 |                               prompt_toolkit.clipboard.base
import time:       179 |        179 |                               prompt_toolkit.clipboard.in_memory
import time:       185 |       1076 |                             prompt_toolkit.clipboard
import time:       322 |        322 |                                 prompt_toolkit.cache
import time:       220 |        220 |                                 prompt_toolkit.enums
import time:       352 |        352 |                                 prompt_toolkit.filters.base
import time:       302 |       1195 |                               prompt_toolkit.filters.app
import time:       162 |        162 |                               prompt_toolkit.filters.cli
import time:       117 |        117 |                               prompt_toolkit.filters.utils
import time:       185 |       1657 |                             prompt_toolkit.filters
import time:      1942 |       4674 |                           prompt_toolkit.document
import time:       324 |       4997 |                         prompt_toolkit.auto_suggest
import time:      2430 |       2430 |                                               prompt_toolkit.keys
import time:       820 |       3249 |                                             prompt_toolkit.key_binding.key_bindings
import time:       136 |        136 |                                                     wcwidth.table_vs16
import time:       160 |        160 |                                                     wcwidth.table_wide
import time:       356 |        356 |                                                     wcwidth.table_zero
import time:       106 |        106 |                                                     wcwidth.unicode_versions
import time:       255 |       1011 |                                                   wcwidth.wcwidth
import time:       266 |       1277 |                                                 wcwidth
import time:       403 |       1679 |                                               prompt_toolkit.utils
import time:       348 |       2027 |                                             prompt_toolkit.key_binding.key_processor
import time:       134 |       5409 |                                           prompt_toolkit.key_binding
import time:       387 |       5795 |                                         prompt_toolkit.key_binding.vi_state
import time:       626 |       6421 |                                       prompt_toolkit.cursor_shapes
import time:       670 |        670 |                                       prompt_toolkit.data_structures
import time:       722 |        722 |                                         prompt_toolkit.styles.base
import time:       173 |        173 |                                           prompt_toolkit.styles.named_colors
import time:       629 |        629 |                                           prompt_toolkit.styles.style
import time:       345 |       1146 |                                         prompt_toolkit.styles.defaults
import time:       196 |        196 |                                         prompt_toolkit.styles.pygments
import time:       147 |        147 |                                           colorsys
import time:       459 |        605 |                                         prompt_toolkit.styles.style_transformation
import time:       326 |       2994 |                                       prompt_toolkit.styles
import time:       600 |        600 |                                       prompt_toolkit.output.color_depth
import time:       344 |      11026 |                                     prompt_toolkit.output.base
import time:       173 |        173 |                                         prompt_toolkit.output.flush_stdout
import time:       406 |        578 |                                       prompt_toolkit.output.plain_text
import time:       158 |        735 |                                     prompt_toolkit.output.defaults
import time:       124 |      11883 |                                   prompt_toolkit.output
import time:       571 |      12454 |                                 prompt_toolkit.output.vt100
import time:       469 |        469 |                                   prompt_toolkit.mouse_events
import time:       422 |        891 |                                 prompt_toolkit.formatted_text.base
import time:       527 |      13871 |                               prompt_toolkit.formatted_text.ansi
import time:       214 |        214 |                                     xml
import time:       161 |        161 |                                     xml.dom.domreg
import time:       447 |        821 |                                   xml.dom
import time:       190 |        190 |                                   xml.dom.minicompat
import time:       291 |        291 |                                     xml.dom.NodeFilter
import time:       344 |        634 |                                   xml.dom.xmlbuilder
import time:      1140 |       2784 |                                 xml.dom.minidom
